,Timestamp,Checker,Benchmark,Total steps,Guest cycles,Setup time,Guest loading time,Preprocessing time,Proving time,Verification time,Total time,Tokens
48,2024-11-03 9:41:27,cairo,small/hol/hol_anval.mm,1510240,,,,,112.4811534,4.322728258,,1199
49,2024-11-03 9:41:27,cairo,small/hol/hol_orval.mm,1611899,,,,,112.6667547,4.319167408,,1330
50,2024-11-03 9:41:27,cairo,small/hol/hol_ac.mm,1261128,,,,,111.6958312,4.320667938,,1348
51,2024-11-03 9:41:27,cairo,small/hol/hol_exlimdv2.mm,1272881,,,,,112.9867855,4.323296469,,1399
52,2024-11-03 9:41:27,cairo,small/hol/hol_cbvf.mm,1625158,,,,,110.2298694,4.320606587,,1786
53,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/42.erc20transfer_success_total/42.erc20transfer_success_tm_0.mm,1291045,,,,,108.4547073,4.322334149,,2241
54,2024-11-03 9:41:27,cairo,small/hol/hol_exlimd.mm,2263612,,,,,223.7838232,9.004576808,,2279
55,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/39.erc20transfer_success_total/39.erc20transfer_success_tm_0.mm,1691002,,,,,113.193442,4.316790047,,3014
56,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/5.erc20transfer_success_total/5.erc20transfer_success_tm_0.mm,1844830,,,,,111.8106997,4.318198647,,3255
57,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/29.erc20transfer_success_total/29.erc20transfer_success_tm_0.mm,1864905,,,,,112.8993824,4.319805648,,3351
58,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/41.erc20transfer_success_total/41.erc20transfer_success_tm_0_1.mm,1461558,,,,,110.5446722,4.314908487,,3365
59,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/43.erc20transfer_success_total/43.erc20transfer_success_tm_0_1.mm,1461558,,,,,112.4923189,4.318352278,,3365
60,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/28.erc20transfer_success_total/28.erc20transfer_success_tm_0_1.mm,1461558,,,,,115.4782685,4.32550176,,3365
61,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/3.erc20transfer_success_total/3.erc20transfer_success_tm_0.mm,2054685,,,,,110.9091793,4.320302707,,3604
62,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/16.erc20transfer_success_total/16.erc20transfer_success_tm_0_1.mm,1599413,,,,,109.9497984,4.318096198,,3656
